Wire_id,Temp,Gauge,Num_bends,Block
1,74.2,0.8,14,K
2,74.2,0.8,24,M
3,74.2,0.8,16,K
4,74.2,0.8,12,K
5,74.2,0.8,11,K
6,74.2,0.8,22,M
7,74.2,0.8,16,M
8,74.2,0.8,15,K
9,74.2,0.8,19,K
10,74.2,0.8,28,M
11,74.2,1,18,K
12,74.2,1,18,K
13,74.2,1,24,M
14,74.2,1,24,M
15,74.2,1,16,M
16,74.2,1,20,K
17,74.2,1,19,K
18,74.2,1,20,M
19,74.2,1,19,M
20,74.2,1,18,K
21,53,0.8,18,M
22,53,0.8,7,K
23,53,0.8,14,K
24,53,0.8,16,M
25,53,0.8,18,M
26,53,0.8,26,M
27,53,0.8,7,K
28,53,0.8,20,M
29,53,0.8,18,M
30,53,0.8,8,K
31,53,1,24,M
32,53,1,17,K
33,53,1,8,K
34,53,1,14,M
35,53,1,11,K
36,53,1,7,K
37,53,1,19,M
38,53,1,10,K
39,53,1,9,K
40,53,1,20,M
41,42,0.8,8,K
42,42,0.8,9,K
43,42,0.8,11,K
44,42,0.8,20,M
45,42,0.8,13,K
46,42,0.8,17,M
47,42,0.8,8,K
48,42,0.8,16,M
49,42,0.8,14,M
50,42,0.8,14,M
51,42,1,20,M
52,42,1,13,K
53,42,1,15,M
54,42,1,12,K
55,42,1,12,K
56,42,1,20,M
57,42,1,16,K
58,42,1,17,M
59,42,1,13,K
60,42,1,16,M
